episodeNum,speaker,line
215,ANNA,—the sixty-six seals—
215,ANNA,Lucifer—
215,DEAN,You're possessing some poor bastard?
215,CASTIEL,This is a vessel.
215,DEAN,Chuck Shurley? We have a life.
215,CASTIEL,"Dean, let him go. This man is to be protected."
215,DEAN,Why?
215,CASTIEL,He's a prophet of the Lord.
215,CHUCK,Who are you?
215,ZACHARIAH,I'm Zachariah.
215,DEAN,And how'm I going to ice Lilith?
215,ZACHARIAH,You're not.
215,SAM,I'm sorry.
215,DEAN,"Sammy, let's go."
215,SAM,Dean—he's coming.
215,DEAN,Come on!
215,DEVIL,What the devil is your name?
215,DEVIL,Yosemite Sam?
215,DEVIL,"Let's see. Ah, here it is. I could use a guy like you."
215,DEAN,What the hell?
215,SAM,I don't know.
215,DEAN,Ilchester? Weren't we just there?
215,PILOT,"So if you'd like to stretch your legs, now would be a good time to—"
215,PILOT,Holy crap!
215,DEAN,Change the station.
215,SAM,"Dean, look—"
215,DEAN,Don't say anything.
215,DEAN,"It's okay. We just got to keep our heads down and hash this out, all right?"
215,SAM,"Yeah, okay."
215,DEAN,"All right, well, first things first—How did we end up on Soul Plane?"
215,SAM,"Angels, maybe? I mean, you know, beaming us out of harm's way?"
215,DEAN,"Well, whatever. It's the least of our worries. We need to find Cas."
215,SAM,Geez! Ow!
215,CHUCK,Sam.
215,SAM,Yeah!
215,DEAN,"Hey, Chuck."
215,CHUCK,So...you're okay?
215,SAM,"Well, my head hurts."
215,CHUCK,"No, I mean—I mean, my—My last vision."
215,CHUCK,"You went, like, full-on Vader."
215,CHUCK,Your body temperature was one-fifty. Your heart rate was two hundred. Your eyes were black.
215,DEAN,Your eyes went black?
215,SAM,I didn't know.
215,DEAN,Where's Cas?
215,CHUCK,He's dead. Or gone. The archangel smote the crap out of him. I'm sorry.
215,DEAN,"You're sure? I mean, maybe he just vanished into the light or something."
215,CHUCK,"Oh, no. He, like, exploded."
215,CHUCK,Like a water balloon of chunky soup.
215,SAM,You got a—
215,CHUCK,Uh...right here?
215,SAM,"Uh, the..."
215,CHUCK,"Oh. Oh, god."
215,CHUCK,Is that a molar?
215,CHUCK,Do I have a molar in my hair? This has been a really stressful day.
215,DEAN,"Cas, you stupid bastard."
215,SAM,Stupid? He was trying to help us.
215,DEAN,"Yeah, exactly."
215,SAM,"So, what now?"
215,DEAN,I don't know.
215,CHUCK,"Oh, crap."
215,SAM,What?
215,CHUCK,I can feel them.
215,ZACHARIAH,Thought we'd find you here.
215,ZACHARIAH,"Playtime's over, Dean. Time to come with us."
215,DEAN,"You just keep your distance, asshat."
215,ZACHARIAH,You're upset.
215,DEAN,Yeah. A little. You sons of bitches jump-started judgment day!
215,ZACHARIAH,Maybe we let it happen. We didn't start anything.
215,ZACHARIAH,"Right, Sammy?"
215,ZACHARIAH,"You had a chance to stop your brother, and you couldn't. So let's not quibble over who started what. Let's just say it was—"
215,ZACHARIAH,—all our faults and move on. 'Cause like it or not—
215,ZACHARIAH,—it's Apocalypse Now.
215,ZACHARIAH,And we're back on the same team again.
215,DEAN,Is that so?
215,ZACHARIAH,You want to kill the devil.
215,ZACHARIAH,We want you to kill the devil. It's...synergy.
215,DEAN,And I'm just supposed to trust you?
215,DEAN,"Cram it with walnuts, ugly."
215,ZACHARIAH,"This isn't a game, son."
215,ZACHARIAH,"Lucifer is powerful in ways that defy description. We need to strike now, hard and fast—before he finds his vessel."
215,SAM,His vessel? Lucifer needs a meat suit?
215,ZACHARIAH,He is an angel. Them's the rules.
215,ZACHARIAH,"And when he touches down, we're talking Four Horsemen, red oceans, fiery skies—"
215,ZACHARIAH,"—the greatest hits. You can stop him, Dean, but you need our help."
215,DEAN,"You listen to me, you two-faced douche."
215,DEAN,"After what you did, I don't want jack squat from you!"
215,ZACHARIAH,"You listen to me, boy! You think you can rebel against us? As Lucifer did?"
215,ZACHARIAH,You're bleeding.
215,DEAN,"Oh, yeah—a little insurance policy in case you dicks showed up."
215,ZACHARIAH,No!
215,DEAN,"Learned that from my friend Cas, you son of a bitch."
215,CHUCK,This sucks ass.
215,DEAN,Hey.
215,SAM,Hey.
215,SAM,"Here. Hex bags. No way the angels will find us with those. Demons, either, for that matter."
215,DEAN,Where'd you get it?
215,SAM,I made it.
215,DEAN,How?
215,SAM,I...I learned it from Ruby.
215,DEAN,Speaking of. How you doing? Are you jonesing for another hit of bitch blood or what?
215,SAM,"I-it's weird. Uh, tell you the truth, I'm fine. No shakes, no fever. It's like whoever...put me on that plane cleaned me right up."
215,DEAN,Supernatural methadone.
215,SAM,"Yeah, I guess."
215,SAM,Dean—
215,DEAN,Sam.
215,DEAN,It's okay. You don't have to say anything.
215,SAM,"Well, that's good. Because what can I even say? ""I'm sorry""? ""I screwed up""? Doesn't really do it justice, you know? Look, there's nothing I can do or say that will ever make this right—"
215,DEAN,So why do you keep bringing it up?!
215,DEAN,"Look, all I'm saying is, why do we have to put this under a microscope? We made a mess. We clean it up. That's it."
215,DEAN,"All right, so, say this is just any other hunt. You know? What do we do first?"
